municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square meters,square meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
161,Ejerlejlighed,"Evas Alle 3, 2. th",2600, Glostrup,540971,1994-07-31,Alm. Salg,71,7619,3,1936,
161,Villa,Violvej 8,2600, Glostrup,634250,1994-07-31,Alm. Salg,122,5199,4,1937,
161,Villa,Magleholm 21,2600, Glostrup,1085000,1994-07-31,Alm. Salg,114,9518,4,1980,
161,Villa,Falkevej 13,2600, Glostrup,802140,1994-07-23,Alm. Salg,102,7864,5,1955,
161,Villa,Ejbydalsvej 224,2600, Glostrup,1295000,1994-07-21,Alm. Salg,158,8196,4,1976,
161,Villa,Ejbydalsvej 254,2600, Glostrup,1183883,1994-07-21,Alm. Salg,183,6102,6,1975,
161,Villa,Ejby Mosevej 21,2600, Glostrup,1000949,1994-07-21,Alm. Salg,219,4571,6,1936,
161,Rækkehus,Tranemosevej 28,2600, Glostrup,730672,1994-07-19,Alm. Salg,106,6893,4,1957,
161,Ejerlejlighed,"Byparkvej 6, st. tv",2600, Glostrup,396450,1994-07-19,Alm. Salg,62,6394,2,1975,
161,Villa,Birke Alle 8,2600, Glostrup,845000,1994-07-19,Alm. Salg,119,7101,5,1957,
161,Ejerlejlighed,"Østervej 9C, 2. th",2600, Glostrup,357000,1994-07-18,Alm. Salg,69,5174,3,1943,
161,Ejerlejlighed,"Magnoliavej 4, 2. tv",2600, Glostrup,421500,1994-07-14,Alm. Salg,63,6690,3,1946,
161,Ejerlejlighed,"Gyvelvej 16, st. th",2600, Glostrup,395000,1994-07-13,Alm. Salg,79,5000,3,1961,
161,Villa,Østerager 2,2600, Glostrup,225000,1994-07-13,Alm. Salg,128,1758,5,1995,
161,Villa,Hvissingevej 119,2600, Glostrup,325000,1994-07-13,Alm. Salg,79,4114,2,1929,
161,Villa,Østerager 1,2600, Glostrup,225000,1994-07-12,Alm. Salg,170,1324,6,1995,
161,Villa,Ejbykærsvej 3,2600, Glostrup,930000,1994-07-10,Alm. Salg,157,5407,7,1910,
161,Rækkehus,Hvissingeparken 36,2600, Glostrup,761500,1994-07-05,Alm. Salg,98,7770,4,1967,
161,Villa,Højmarksvej 5,2600, Glostrup,383850,1994-07-05,Andet,124,3096,4,1934,
161,Villa,Erdalsvej 33,2600, Glostrup,578000,1994-07-04,Alm. Salg,130,4446,6,1930,
161,Villa,Edithsvej 5,2600, Glostrup,875000,1994-07-03,Alm. Salg,146,5993,6,1934,
161,Villa,Blåmejsevej 22,2600, Glostrup,857000,1994-07-01,Alm. Salg,161,5323,4,1962,
161,Villa,Sofielunden 12,2600, Glostrup,914000,1994-06-29,Alm. Salg,130,7031,4,1959,
161,Villa,Lunddalsvej 19,2600, Glostrup,503000,1994-06-28,Alm. Salg,112,4491,5,1927,
161,Ejerlejlighed,"Østervej 9B, 2. tv",2600, Glostrup,230831,1994-06-27,Alm. Salg,73,3162,3,1943,
161,Ejerlejlighed,"Vestergårdsvej 4, 1. 4",2600, Glostrup,541000,1994-06-27,Alm. Salg,76,7118,3,1986,
161,Villa,Ørnebjergvej 39,2600, Glostrup,267513,1994-06-27,Andet,101,2649,3,1930,
161,Ejerlejlighed,"Banegårdsvej 15, 2. tv",2600, Glostrup,535000,1994-06-26,Alm. Salg,97,5515,3,1936,
161,Villa,Østerager 3,2600, Glostrup,1394000,1994-06-26,Alm. Salg,144,9681,5,1994,
161,Villa,Poppelvej 5,2600, Glostrup,419000,1994-06-25,Alm. Salg,125,3352,5,1940,
161,Ejerlejlighed,"Magnoliavej 22, st. tv",2600, Glostrup,279500,1994-06-22,Alm. Salg,51,5480,2,1946,
161,Ejerlejlighed,"Stadionvej 43, 1. 19",2600, Glostrup,400000,1994-06-22,Alm. Salg,84,4762,3,1972,
161,Villa,Ejbydalsvej 204,2600, Glostrup,1195280,1994-06-21,Alm. Salg,167,7157,7,1976,
161,Villa,Solvangsvej 18,2600, Glostrup,580000,1994-06-18,Alm. Salg,113,5133,5,1934,
161,Villa,Østerager 37,2600, Glostrup,1450380,1994-06-14,Alm. Salg,136,10665,4,1995,
161,Villa,Østerager 45,2600, Glostrup,1381880,1994-06-14,Alm. Salg,121,11420,4,1994,
161,Villa,Nørre Alle 35,2600, Glostrup,1008537,1994-06-10,Alm. Salg,132,7640,6,1953,
161,Ejerlejlighed,"Lilliendalsvej 3, 1. 3",2600, Glostrup,276000,1994-06-08,Alm. Salg,39,7077,1,1970,
161,Villa,Violvej 1,2600, Glostrup,791600,1994-06-07,Alm. Salg,116,6824,3,1930,
161,Villa,Erdalsvej 32,2600, Glostrup,625000,1994-06-07,Alm. Salg,114,5482,5,1930,
161,Rækkehus,Lilliendalsvej 32,2600, Glostrup,837028,1994-06-01,Alm. Salg,171,4895,5,1966,
161,Rækkehus,Rosenåen 15,2600, Glostrup,617899,1994-06-01,Alm. Salg,100,6179,4,1963,
161,Villa,Jasminvænget 8,2600, Glostrup,1060000,1994-05-30,Fam. Salg,159,6667,5,1975,
161,Villa,Østerager 14,2600, Glostrup,1238000,1994-05-29,Alm. Salg,147,8422,4,1989,
161,Villa,Langagervej 52,2600, Glostrup,790010,1994-05-28,Alm. Salg,140,5643,5,1963,
161,Villa,Jernbanevej 18,2600, Glostrup,675000,1994-05-25,Alm. Salg,293,2304,10,1920,
161,Villa,Erdalsvej 17,2600, Glostrup,613660,1994-05-23,Alm. Salg,115,5336,5,1928,
161,Villa,Højmarksvej 17,2600, Glostrup,815880,1994-05-22,Alm. Salg,199,4100,5,1927,
161,Ejerlejlighed,"Springholm 1, 2. tv",2600, Glostrup,307404,1994-05-20,Andet,96,3202,4,1989,
161,Ejerlejlighed,"Østervej 39, 1. th",2600, Glostrup,432000,1994-05-18,Alm. Salg,81,5333,3,1959,
161,Villa,Enighedsvej 3,2600, Glostrup,909302,1994-05-17,Alm. Salg,118,7706,4,1967,
161,Villa,Sofielundsvej 41,2600, Glostrup,1356542,1994-05-17,Alm. Salg,128,10598,7,1949,
161,Ejerlejlighed,"Nordre Ringvej 5, 2. th",2600, Glostrup,373471,1994-05-16,Alm. Salg,68,5492,3,1939,
161,Villa,Ejbytoften 23,2600, Glostrup,325000,1994-05-15,Alm. Salg,204,1593,8,1994,
161,Villa,Peders Kilde 13,2600, Glostrup,1048500,1994-05-10,Alm. Salg,151,6944,4,1973,
161,Villa,Hvissingestræde 8,2600, Glostrup,266000,1994-05-04,Andet,75,3547,3,1867,
161,Villa,Spurvevej 16,2600, Glostrup,730958,1994-05-03,Alm. Salg,83,8807,3,1955,
161,Villa,Ydergrænsen 21,2600, Glostrup,769800,1994-05-02,Alm. Salg,132,5832,4,1964,
161,Villa,Ørnebjergvej 36,2600, Glostrup,630492,1994-05-01,Alm. Salg,94,6707,4,1959,
161,Villa,Ejby Mosevej 73,2600, Glostrup,913160,1994-05-01,Alm. Salg,115,7941,4,1968,
161,Ejerlejlighed,"Hovedvejen 60C, st. tv",2600, Glostrup,280000,1994-04-26,Alm. Salg,52,5385,2,1943,
161,Villa,Hvissingevej 152,2600, Glostrup,931220,1994-04-26,Alm. Salg,168,5543,5,1975,
161,Ejerlejlighed,"Brøndbyvestervej 18, 1. k",2600, Glostrup,365511,1994-04-24,Alm. Salg,80,4569,3,1961,
161,Villa,Emilsvej 3,2600, Glostrup,795000,1994-04-20,Alm. Salg,164,4848,5,1925,
161,Villa,Peders Kilde 11,2600, Glostrup,922730,1994-04-18,Alm. Salg,158,5840,4,1969,
161,Ejerlejlighed,"Sofielundsvej 1C, st. tv",2600, Glostrup,398000,1994-04-17,Alm. Salg,51,7804,2,1939,
161,Villa,Skolevej 11,2600, Glostrup,720000,1994-04-17,Alm. Salg,92,7826,3,1933,
161,Villa,Heggelunds Alle 11,2600, Glostrup,742000,1994-04-17,Alm. Salg,97,7649,4,1926,
161,Ejerlejlighed,"Christiansvej 17, 2. th",2600, Glostrup,361233,1994-04-14,Alm. Salg,61,5922,3,1947,
161,Villa,Rørsangervej 16,2600, Glostrup,971880,1994-04-13,Alm. Salg,167,5820,6,2020,
161,Villa,Ejbyholm 20,2600, Glostrup,583584,1994-04-13,Alm. Salg,172,3393,5,1980,
161,Villa,Ejbyholm 13,2600, Glostrup,1140000,1994-04-11,Alm. Salg,150,7600,5,1976,
161,Ejerlejlighed,"Hovedvejen 60B, 1. tv",2600, Glostrup,379660,1994-04-10,Alm. Salg,52,7301,1,1943,
161,Villa,Nordvangs Alle 23,2600, Glostrup,910013,1994-04-09,Alm. Salg,163,5583,6,1939,
161,Ejerlejlighed,"Hovedvejen 154, 2. 18",2600, Glostrup,382500,1994-04-07,Fam. Salg,81,4722,2,1978,
161,Villa,Erdalsvej 2D,2600, Glostrup,790000,1994-04-06,Alm. Salg,133,5940,5,1927,
161,Ejerlejlighed,"Banegårdsvej 15, 1. tv",2600, Glostrup,344725,1994-04-04,Alm. Salg,97,3554,3,1936,
161,Villa,Østerager 16,2600, Glostrup,1282000,1994-04-02,Alm. Salg,131,9786,4,1987,
161,Villa,Ejby Mosevej 83,2600, Glostrup,970000,1994-03-30,Alm. Salg,153,6340,6,1977,
161,Ejerlejlighed,"Springholm 3, 2. tv",2600, Glostrup,607340,1994-03-29,Alm. Salg,86,7062,3,1989,
161,Villa,Højvangsvej 36,2600, Glostrup,327250,1994-03-29,Fam. Salg,106,3087,3,1957,
161,Ejerlejlighed,"Springholm 1, 2. th",2600, Glostrup,671389,1994-03-28,Alm. Salg,86,7807,3,1989,
161,Villa,Ingersvej 30,2600, Glostrup,610000,1994-03-27,Alm. Salg,87,7011,4,1937,
161,Villa,Ejbytoften 5,2600, Glostrup,1180000,1994-03-26,Alm. Salg,215,5488,7,1980,
161,Villa,Sofielundsvej 97,2600, Glostrup,636683,1994-03-24,Alm. Salg,131,4860,7,1950,
161,Villa,Østerager 46,2600, Glostrup,1563000,1994-03-23,Alm. Salg,142,11007,5,1994,
161,Villa,Fyrremejsevej 9,2600, Glostrup,517866,1994-03-20,Alm. Salg,92,5629,3,1957,
161,Villa,Bjergbakkevej 252,2600, Glostrup,883100,1994-03-17,Alm. Salg,138,6399,5,1973,
161,Villa,Langagervej 13,2600, Glostrup,561552,1994-03-15,Alm. Salg,142,3955,5,1952,
161,Villa,Ejbydalsvej 133,2600, Glostrup,325000,1994-03-14,Alm. Salg,133,2444,5,1994,
161,Villa,Østerager 17,2600, Glostrup,1138000,1994-03-13,Alm. Salg,111,10252,4,1994,
161,Villa,Lunddalsvej 31,2600, Glostrup,412000,1994-03-13,Auktion,141,2922,6,1950,
161,Villa,Rosenvej 7,2600, Glostrup,620000,1994-03-10,Alm. Salg,111,5586,4,1931,
161,Ejerlejlighed,"Magnoliavej 10, st. tv",2600, Glostrup,209664,1994-03-08,Auktion,63,3328,3,1946,
161,Villa,Langagervej 38,2600, Glostrup,970000,1994-03-08,Alm. Salg,154,6299,6,1954,
161,Villa,Ørnebjergvej 33,2600, Glostrup,565849,1994-03-07,Alm. Salg,86,6580,2,1930,
161,Villa,Rødkælkevej 9,2600, Glostrup,735000,1994-03-06,Alm. Salg,117,6282,4,1959,
161,Villa,Spurvevej 7,2600, Glostrup,895000,1994-03-06,Alm. Salg,162,5525,4,1960,
161,Ejerlejlighed,"Sofielundsvej 10B, 1. th",2600, Glostrup,272052,1994-03-03,Alm. Salg,46,5914,2,1950,
161,Ejerlejlighed,"Hovedvejen 154, 4. 31",2600, Glostrup,455960,1994-02-28,Alm. Salg,73,6246,2,1978,
161,Ejerlejlighed,"Hovedvejen 60B, 1. th",2600, Glostrup,153640,1994-02-28,Andet,52,2955,2,1943,
