municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square meters,square meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
165,Ejerlejlighed,"Topperne 24, st. 2",2620, Albertslund,545000,2006-08-14,Alm. Salg,33,16515,1,1972,
165,Rækkehus,Bispehusene 17,2620, Albertslund,2305000,2006-08-10,Alm. Salg,108,21343,4,1972,
165,Rækkehus,Pilehusene 104,2600, Glostrup,2475000,2006-08-10,Alm. Salg,110,22500,4,1973,
165,Rækkehus,Elmehusene 149,2600, Glostrup,2100000,2006-08-10,Alm. Salg,96,21875,3,1967,
165,Rækkehus,Rytterhusene 72,2620, Albertslund,2395000,2006-08-10,Alm. Salg,108,22176,4,1968,
165,Villa,Mørkager 53,2620, Albertslund,3295000,2006-08-10,Alm. Salg,129,25543,5,1967,
165,Villa,Kastanie Alle 15,2620, Albertslund,3295000,2006-08-09,Alm. Salg,90,36611,3,1933,
165,Villa,Herstedvesterstræde 25,2620, Albertslund,3495000,2006-08-07,Alm. Salg,148,23615,6,1970,
165,Ejerlejlighed,"Topperne 3, st. 1",2620, Albertslund,1790000,2006-08-03,Alm. Salg,101,17723,3,1972,
165,Villa,Herstedøster Skolevej 13B,2620, Albertslund,9500000,2006-07-31,Alm. Salg,261,36398,5,1877,
165,Villa,Herstedøster Skolevej 13C,2620, Albertslund,9500000,2006-07-31,Alm. Salg,154,61688,5,1877,
165,Villa,Lyngmosevej 8,2620, Albertslund,2245000,2006-07-30,Alm. Salg,100,22450,3,1927,
165,Rækkehus,Jægerhusene 5,2620, Albertslund,1093648,2006-07-19,Andet,106,10317,5,1968,
165,Rækkehus,Elmehusene 69,2600, Glostrup,2295000,2006-07-16,Alm. Salg,96,23906,3,1967,
165,Rækkehus,Elmehusene 212,2600, Glostrup,2245000,2006-07-16,Alm. Salg,96,23385,4,1968,
165,Ejerlejlighed,"Topperne 12, 1. 13",2620, Albertslund,1745000,2006-07-11,Alm. Salg,97,17990,4,1971,
165,Ejerlejlighed,"Topperne 13, 2. 24",2620, Albertslund,1075000,2006-07-10,Alm. Salg,49,21939,2,1972,
165,Villa,Kratager 29,2620, Albertslund,3095000,2006-07-10,Alm. Salg,200,15475,6,2017,
165,Rækkehus,Elmehusene 18,2600, Glostrup,2320000,2006-07-08,Alm. Salg,96,24167,4,1968,
165,Ejerlejlighed,"Topperne 14, st. 2",2620, Albertslund,698000,2006-07-06,Alm. Salg,33,21152,1,1971,
165,Rækkehus,Skyttehusene 83,2620, Albertslund,2300000,2006-07-04,Alm. Salg,106,21698,5,1968,
165,Ejerlejlighed,Mölndalsparken 85,2620, Albertslund,1750000,2006-07-04,Alm. Salg,67,26119,3,1986,
165,Ejerlejlighed,"Topperne 32, 3. 33",2620, Albertslund,1875000,2006-07-03,Alm. Salg,100,18750,4,1972,
165,Rækkehus,Fasanhusene 5,2620, Albertslund,2395000,2006-07-02,Alm. Salg,106,22594,4,1968,
165,Villa,Randager 118,2620, Albertslund,3170000,2006-07-02,Alm. Salg,110,28818,4,1966,
165,Ejerlejlighed,"Topperne 16, 2. 22",2620, Albertslund,624653,2006-06-30,Andet,49,12748,2,1971,
165,Rækkehus,Mölndalsparken 38,2620, Albertslund,1800000,2006-06-29,Alm. Salg,94,19149,4,1986,
165,Rækkehus,Fiskerhusene 13,2620, Albertslund,2300000,2006-06-29,Alm. Salg,106,21698,4,1968,
165,Rækkehus,Poppelhusene 11,2600, Glostrup,2400000,2006-06-28,Alm. Salg,120,20000,5,1974,
165,Rækkehus,Skyttehusene 13,2620, Albertslund,2360000,2006-06-27,Alm. Salg,108,21852,4,1968,
165,Rækkehus,Elmehusene 153,2600, Glostrup,2250000,2006-06-27,Alm. Salg,100,22500,4,1967,
165,Villa,Hvidager 2,2620, Albertslund,2775000,2006-06-27,Alm. Salg,140,19821,5,1966,
165,Ejerlejlighed,"Topperne 14, st. 1",2620, Albertslund,1995000,2006-06-25,Alm. Salg,97,20567,4,1971,
165,Rækkehus,Fyrrehusene 46,2600, Glostrup,2746732,2006-06-24,Alm. Salg,110,24970,5,1973,
165,Villa,Rønne Alle 9,2620, Albertslund,2715000,2006-06-21,Alm. Salg,97,27990,4,1937,
165,Villa,Hvidager 47,2620, Albertslund,3015000,2006-06-21,Alm. Salg,103,29272,4,1965,
165,Rækkehus,Elmehusene 5,2600, Glostrup,2375000,2006-06-20,Alm. Salg,96,24740,4,1967,
165,Ejerlejlighed,"Topperne 18, 1. 13",2620, Albertslund,1975000,2006-06-19,Alm. Salg,97,20361,4,1972,
165,Villa,Lavager 8,2620, Albertslund,2700000,2006-06-19,Alm. Salg,125,21600,4,1966,
165,Rækkehus,Robinievej 26,2620, Albertslund,2495000,2006-06-17,Alm. Salg,137,18212,5,2007,
165,Rækkehus,Tranehusene 84,2620, Albertslund,2845000,2006-06-14,Alm. Salg,108,26343,5,1972,
165,Villa,Enebærhaven 93,2620, Albertslund,1650000,2006-06-14,Fam. Salg,126,13095,4,1975,
165,Rækkehus,Fiskerhusene 7,2620, Albertslund,2445000,2006-06-12,Alm. Salg,106,23066,4,1968,
165,Villa,Enebærhaven 17,2620, Albertslund,2945000,2006-06-12,Alm. Salg,135,21815,5,1971,
165,Ejerlejlighed,"Topperne 11, 1. 14",2620, Albertslund,1105000,2006-06-10,Alm. Salg,49,22551,2,1972,
165,Rækkehus,Tranehusene 73,2620, Albertslund,2795000,2006-06-08,Alm. Salg,112,24955,4,1972,
165,Ejerlejlighed,"Topperne 6, st. 3",2620, Albertslund,1900000,2006-06-05,Alm. Salg,102,18627,4,1971,
165,Villa,Kvædehaven 127,2600, Glostrup,3050000,2006-06-02,Alm. Salg,159,19182,6,1969,
165,Rækkehus,Elmehusene 304,2600, Glostrup,1995000,2006-06-01,Alm. Salg,96,20781,4,1968,
165,Rækkehus,Robinievej 3,2620, Albertslund,2795000,2006-06-01,Alm. Salg,137,20401,5,2007,
165,Rækkehus,Robinievej 10,2620, Albertslund,2620000,2006-06-01,Alm. Salg,135,19407,4,2007,
165,Rækkehus,Robinievej 4,2620, Albertslund,2595000,2006-06-01,Alm. Salg,137,18942,5,2007,
165,Rækkehus,Robinievej 8,2620, Albertslund,2595000,2006-06-01,Alm. Salg,135,19222,5,2007,
165,Rækkehus,Robinievej 6,2620, Albertslund,2620000,2006-06-01,Alm. Salg,137,19124,4,2007,
165,Rækkehus,Robinievej 14,2620, Albertslund,2620000,2006-06-01,Alm. Salg,137,19124,4,2007,
165,Rækkehus,Robinievej 12,2620, Albertslund,2595000,2006-06-01,Alm. Salg,137,18942,5,2007,
165,Rækkehus,Robinievej 2,2620, Albertslund,2695000,2006-06-01,Alm. Salg,141,19113,5,2007,
165,Rækkehus,Robinievej 5,2620, Albertslund,2620000,2006-06-01,Alm. Salg,137,19124,4,2007,
165,Rækkehus,Robinievej 16,2620, Albertslund,2645000,2006-06-01,Alm. Salg,141,18759,5,2007,
165,Rækkehus,Rypehusene 90,2620, Albertslund,2598000,2006-05-31,Alm. Salg,108,24056,5,1972,
165,Villa,Nyvej 2,2620, Albertslund,2395000,2006-05-28,Alm. Salg,81,29568,4,1959,
165,Rækkehus,Poppelhusene 154,2600, Glostrup,3575000,2006-05-27,Alm. Salg,107,33411,4,1971,
165,Ejerlejlighed,"Topperne 15, st. 2",2620, Albertslund,725000,2006-05-26,Alm. Salg,33,21970,1,1972,
165,Rækkehus,Elmehusene 86,2600, Glostrup,2215000,2006-05-25,Alm. Salg,96,23073,4,1968,
165,Villa,Snebærhaven 21,2620, Albertslund,3650000,2006-05-25,Alm. Salg,183,19945,6,1969,
165,Villa,Rudeland 5,2620, Albertslund,2875000,2006-05-22,Alm. Salg,118,24364,4,1959,
165,Ejerlejlighed,"Topperne 20, 1. 12",2620, Albertslund,1225000,2006-05-21,Alm. Salg,49,25000,2,1972,
165,Ejerlejlighed,"Topperne 16, 2. 22",2620, Albertslund,1198000,2006-05-20,Alm. Salg,49,24449,2,1971,
165,Ejerlejlighed,"Kanaltorvet 8, 1. 2",2620, Albertslund,1175000,2006-05-18,Alm. Salg,59,19915,1,1970,
165,Rækkehus,Robinievej 11,2620, Albertslund,2670000,2006-05-17,Alm. Salg,141,18936,4,2007,
165,Rækkehus,Robinievej 21,2620, Albertslund,2595000,2006-05-17,Alm. Salg,137,18942,5,2007,
165,Rækkehus,Robinievej 19,2620, Albertslund,2620000,2006-05-17,Alm. Salg,137,19124,4,2007,
165,Rækkehus,Robinievej 17,2620, Albertslund,2620000,2006-05-17,Alm. Salg,135,19407,4,2007,
165,Rækkehus,Robinievej 15,2620, Albertslund,2620000,2006-05-17,Alm. Salg,135,19407,4,2007,
165,Rækkehus,Robinievej 18,2620, Albertslund,2720000,2006-05-17,Alm. Salg,141,19291,4,2007,
165,Rækkehus,Robinievej 23,2620, Albertslund,2620000,2006-05-17,Alm. Salg,135,19407,4,2007,
165,Rækkehus,Robinievej 27,2620, Albertslund,2670000,2006-05-17,Alm. Salg,141,18936,4,2007,
165,Rækkehus,Robinievej 13,2620, Albertslund,2695000,2006-05-17,Alm. Salg,141,19113,5,2007,
165,Rækkehus,Robinievej 20,2620, Albertslund,2595000,2006-05-17,Alm. Salg,137,18942,5,2007,
165,Rækkehus,Robinievej 9,2620, Albertslund,2595000,2006-05-17,Alm. Salg,137,18942,5,2007,
165,Rækkehus,Robinievej 25,2620, Albertslund,2620000,2006-05-17,Alm. Salg,135,19407,4,2007,
165,Rækkehus,Hyldagervænge 11,2620, Albertslund,3333000,2006-05-13,Alm. Salg,140,23807,3,1997,
165,Rækkehus,Elmehusene 312,2600, Glostrup,2195000,2006-05-10,Alm. Salg,100,21950,4,1968,
165,Ejerlejlighed,"Topperne 22, 3. 32",2620, Albertslund,1285000,2006-05-10,Alm. Salg,49,26224,2,1972,
165,Ejerlejlighed,"Topperne 8, 1. 14",2620, Albertslund,1134000,2006-05-10,Alm. Salg,49,23143,2,1971,
165,Rækkehus,Robinievej 22,2620, Albertslund,2495000,2006-05-09,Alm. Salg,137,18212,5,2007,
165,Rækkehus,Robinievej 28,2620, Albertslund,2495000,2006-05-09,Alm. Salg,135,18481,5,2007,
165,Rækkehus,Robinievej 24,2620, Albertslund,2495000,2006-05-09,Alm. Salg,137,18212,5,2007,
165,Rækkehus,Robinievej 32,2620, Albertslund,2620000,2006-05-09,Alm. Salg,137,19124,4,2007,
165,Rækkehus,Robinievej 30,2620, Albertslund,2620000,2006-05-09,Alm. Salg,135,19407,4,2007,
165,Villa,Skærager 43,2620, Albertslund,2535000,2006-05-08,Alm. Salg,131,19351,4,1965,
165,Rækkehus,Fiskerhusene 34,2620, Albertslund,2295000,2006-05-07,Alm. Salg,108,21250,4,1968,
165,Rækkehus,Tranehusene 52,2620, Albertslund,2450000,2006-05-07,Alm. Salg,108,22685,4,1972,
165,Rækkehus,Robinievej 35,2620, Albertslund,2695000,2006-05-07,Alm. Salg,141,19113,5,2007,
165,Rækkehus,Robinievej 33,2620, Albertslund,2645000,2006-05-07,Alm. Salg,135,19593,5,2007,
165,Rækkehus,Robinievej 31,2620, Albertslund,2645000,2006-05-07,Alm. Salg,135,19593,5,2007,
