muni_code,year,unemployed
219,2009,772
223,2009,281
230,2009,611
240,2009,521
250,2009,814
253,2009,801
259,2009,1350
260,2009,766
265,2009,1308
269,2009,376
270,2009,694
306,2009,749
316,2009,1497
320,2009,853
326,2009,1024
329,2009,726
330,2009,2051
336,2009,500
340,2009,578
350,2009,391
360,2009,1375
370,2009,2102
376,2009,1439
390,2009,1172
400,2009,1358
410,2009,762
420,2009,1192
430,2009,1250
440,2009,604
450,2009,742
461,2009,5260
479,2009,1304
480,2009,803
482,2009,279
492,2009,111
510,2009,1193
530,2009,428
540,2009,1812
550,2009,933
561,2009,2270
563,2009,50
573,2009,831
575,2009,776
580,2009,1454
607,2009,1258
615,2009,2056
621,2009,1907
630,2009,2036
657,2009,1784
661,2009,1259
665,2009,446
671,2009,577
706,2009,853
707,2009,906
710,2009,926
727,2009,441
730,2009,2439
740,2009,1889
741,2009,82
746,2009,993
751,2009,6777
756,2009,1125
760,2009,1151
766,2009,934
773,2009,622
779,2009,1330
787,2009,906
791,2009,1954
810,2009,1043
813,2009,1859
820,2009,990
825,2009,70
840,2009,725
846,2009,1127
849,2009,1049
851,2009,5416
860,2009,1935
101,2010,22121
147,2010,2947
151,2010,1024
153,2010,1063
155,2010,236
157,2010,1197
159,2010,1704
161,2010,684
163,2010,746
165,2010,1002
167,2010,1341
169,2010,1678
173,2010,927
175,2010,989
183,2010,1002
185,2010,1207
187,2010,366
190,2010,764
201,2010,336
210,2010,826
217,2010,1594
