,muni_code,year,kont_recip_tot
699,253,2018,927
700,253,2019,869
701,253,2020,822
702,253,2021,775
703,253,2022,745
351,259,1994,1889
352,259,1995,1785
353,259,1996,1660
354,259,1997,1777
355,259,1998,1608
356,259,1999,1588
357,259,2000,1637
358,259,2001,1636
359,259,2002,1910
360,259,2003,2037
361,259,2004,1887
362,259,2005,1794
363,259,2006,1851
704,259,2007,1795
705,259,2008,1787
706,259,2009,2071
707,259,2010,2181
708,259,2011,2329
709,259,2012,2385
710,259,2013,2683
711,259,2014,2721
712,259,2015,2769
713,259,2016,2590
714,259,2017,2252
715,259,2018,1860
716,259,2019,1606
717,259,2020,1415
718,259,2021,1246
719,259,2022,1267
364,260,1994,1195
365,260,1995,1157
366,260,1996,1157
367,260,1997,1186
368,260,1998,1220
369,260,1999,1133
370,260,2000,1088
371,260,2001,1080
372,260,2002,953
373,260,2003,999
374,260,2004,907
375,260,2005,881
376,260,2006,819
720,260,2007,896
721,260,2008,855
722,260,2009,1028
723,260,2010,1167
724,260,2011,1213
725,260,2012,1248
726,260,2013,1377
727,260,2014,1456
728,260,2015,1438
729,260,2016,1353
730,260,2017,1191
731,260,2018,1063
732,260,2019,932
733,260,2020,824
734,260,2021,666
735,260,2022,597
377,265,1994,2639
378,265,1995,2281
379,265,1996,2257
380,265,1997,2177
381,265,1998,2121
382,265,1999,2054
383,265,2000,2216
384,265,2001,2160
385,265,2002,2040
386,265,2003,2031
387,265,2004,1791
388,265,2005,1637
389,265,2006,1660
736,265,2007,1855
737,265,2008,1868
738,265,2009,2356
739,265,2010,2562
740,265,2011,2630
741,265,2012,2609
742,265,2013,3025
743,265,2014,3093
744,265,2015,3151
745,265,2016,3174
746,265,2017,2766
747,265,2018,2274
748,265,2019,2142
749,265,2020,2054
750,265,2021,1774
751,265,2022,1805
390,269,1994,579
391,269,1995,435
392,269,1996,451
393,269,1997,389
394,269,1998,345
395,269,1999,328
396,269,2000,338
397,269,2001,359
398,269,2002,392
399,269,2003,379
400,269,2004,369
401,269,2005,436
402,269,2006,449
752,269,2007,394
753,269,2008,378
754,269,2009,433
755,269,2010,472
756,269,2011,436
757,269,2012,486
758,269,2013,576
759,269,2014,631
760,269,2015,635
761,269,2016,536
762,269,2017,454
763,269,2018,391
764,269,2019,321
765,269,2020,304
766,269,2021,276
767,269,2022,288
403,270,1994,1431
404,270,1995,1189
405,270,1996,1167
406,270,1997,984
407,270,1998,980
408,270,1999,877
409,270,2000,899
410,270,2001,874
411,270,2002,979
412,270,2003,950
413,270,2004,1140
414,270,2005,895
415,270,2006,854
768,270,2007,677
769,270,2008,732
770,270,2009,960
771,270,2010,1124
772,270,2011,1137
773,270,2012,1217
774,270,2013,1414
775,270,2014,1482
776,270,2015,1529
777,270,2016,1416
778,270,2017,1228
779,270,2018,1012
780,270,2019,858
781,270,2020,802
782,270,2021,658
783,270,2022,681
416,306,1994,1113
417,306,1995,1005
418,306,1996,1059
419,306,1997,1069
420,306,1998,1055
421,306,1999,1091
422,306,2000,1169
423,306,2001,1082
424,306,2002,1056
425,306,2003,1169
426,306,2004,1091
427,306,2005,1007
428,306,2006,940
784,306,2007,1019
785,306,2008,1094
786,306,2009,1288
787,306,2010,1364
788,306,2011,1411
789,306,2012,1510
790,306,2013,1654
791,306,2014,1703
792,306,2015,1777
793,306,2016,1622
794,306,2017,1459
795,306,2018,1266
796,306,2019,1175
797,306,2020,1036
798,306,2021,846
799,306,2022,801
429,316,1994,2773
430,316,1995,2599
431,316,1996,2523
432,316,1997,2442
433,316,1998,2365
434,316,1999,2463
435,316,2000,2360
436,316,2001,2254
437,316,2002,2266
438,316,2003,2188
439,316,2004,2051
440,316,2005,1964
441,316,2006,2014
800,316,2007,2205
801,316,2008,2116
802,316,2009,2506
803,316,2010,2671
804,316,2011,2733
805,316,2012,2829
806,316,2013,2992
807,316,2014,3091
808,316,2015,3296
809,316,2016,3150
810,316,2017,2764
811,316,2018,2495
812,316,2019,2251
813,316,2020,2083
814,316,2021,1770
815,316,2022,1621
442,320,1994,1154
443,320,1995,991
444,320,1996,972
445,320,1997,970
446,320,1998,925
447,320,1999,1057
448,320,2000,1013
449,320,2001,1006
450,320,2002,986
451,320,2003,976
452,320,2004,1009
453,320,2005,966
454,320,2006,976
816,320,2007,987
817,320,2008,1044
818,320,2009,1173
819,320,2010,1308
820,320,2011,1341
821,320,2012,1473
822,320,2013,1689
823,320,2014,1721
824,320,2015,1706
825,320,2016,1597
826,320,2017,1482
827,320,2018,1283
828,320,2019,1118
829,320,2020,1001
830,320,2021,897
831,320,2022,859
455,326,1994,1400
456,326,1995,1196
457,326,1996,1269
458,326,1997,1213
459,326,1998,1388
460,326,1999,1491
461,326,2000,1573
462,326,2001,1546
463,326,2002,1457
464,326,2003,1462
465,326,2004,1437
466,326,2005,1507
467,326,2006,1497
832,326,2007,1656
833,326,2008,1702
834,326,2009,1803
835,326,2010,1945
836,326,2011,2080
837,326,2012,2211
838,326,2013,2549
839,326,2014,2585
840,326,2015,2623
841,326,2016,2438
842,326,2017,2156
843,326,2018,1869
844,326,2019,1671
845,326,2020,1654
846,326,2021,1479
847,326,2022,1443
468,329,1994,1185
469,329,1995,1181
470,329,1996,1068
471,329,1997,1095
472,329,1998,1030
473,329,1999,1005
474,329,2000,982
475,329,2001,993
476,329,2002,1051
477,329,2003,1104
478,329,2004,1085
479,329,2005,1071
480,329,2006,1035
848,329,2007,1087
849,329,2008,1064
850,329,2009,1170
851,329,2010,1291
852,329,2011,1334
853,329,2012,1407
854,329,2013,1609
855,329,2014,1531
856,329,2015,1433
857,329,2016,1421
858,329,2017,1320
859,329,2018,1146
860,329,2019,1031
861,329,2020,983
862,329,2021,854
863,329,2022,865
481,330,1994,2856
482,330,1995,2577
483,330,1996,2602
484,330,1997,2436
485,330,1998,3011
486,330,1999,3070
487,330,2000,3104
488,330,2001,3079
489,330,2002,2850
490,330,2003,3237
491,330,2004,2852
492,330,2005,2776
493,330,2006,2714
864,330,2007,3160
865,330,2008,3207
866,330,2009,3688
867,330,2010,3842
868,330,2011,3897
869,330,2012,4097
870,330,2013,4605
871,330,2014,4691
872,330,2015,4843
873,330,2016,4575
874,330,2017,4117
875,330,2018,3570
876,330,2019,3376
877,330,2020,3311
