TAL;OMRÅDE;TID;INDHOLD
1 Berørte personer (antal);240 Egedal;2020 2020;538
1 Berørte personer (antal);240 Egedal;2021 2021;510
1 Berørte personer (antal);240 Egedal;2022 2022;586
1 Berørte personer (antal);210 Fredensborg;2007 2007;1001
1 Berørte personer (antal);210 Fredensborg;2008 2008;1055
1 Berørte personer (antal);210 Fredensborg;2009 2009;1191
1 Berørte personer (antal);210 Fredensborg;2010 2010;1199
1 Berørte personer (antal);210 Fredensborg;2011 2011;1154
1 Berørte personer (antal);210 Fredensborg;2012 2012;1157
1 Berørte personer (antal);210 Fredensborg;2013 2013;1350
1 Berørte personer (antal);210 Fredensborg;2014 2014;1459
1 Berørte personer (antal);210 Fredensborg;2015 2015;1423
1 Berørte personer (antal);210 Fredensborg;2016 2016;1275
1 Berørte personer (antal);210 Fredensborg;2017 2017;1107
1 Berørte personer (antal);210 Fredensborg;2018 2018;883
1 Berørte personer (antal);210 Fredensborg;2019 2019;799
1 Berørte personer (antal);210 Fredensborg;2020 2020;746
1 Berørte personer (antal);210 Fredensborg;2021 2021;670
1 Berørte personer (antal);210 Fredensborg;2022 2022;636
1 Berørte personer (antal);250 Frederikssund;2007 2007;892
1 Berørte personer (antal);250 Frederikssund;2008 2008;965
1 Berørte personer (antal);250 Frederikssund;2009 2009;1245
1 Berørte personer (antal);250 Frederikssund;2010 2010;1407
1 Berørte personer (antal);250 Frederikssund;2011 2011;1437
1 Berørte personer (antal);250 Frederikssund;2012 2012;1507
1 Berørte personer (antal);250 Frederikssund;2013 2013;1758
1 Berørte personer (antal);250 Frederikssund;2014 2014;1747
1 Berørte personer (antal);250 Frederikssund;2015 2015;1775
1 Berørte personer (antal);250 Frederikssund;2016 2016;1666
1 Berørte personer (antal);250 Frederikssund;2017 2017;1451
1 Berørte personer (antal);250 Frederikssund;2018 2018;1245
1 Berørte personer (antal);250 Frederikssund;2019 2019;1065
1 Berørte personer (antal);250 Frederikssund;2020 2020;1021
1 Berørte personer (antal);250 Frederikssund;2021 2021;885
1 Berørte personer (antal);250 Frederikssund;2022 2022;916
1 Berørte personer (antal);190 Furesø;2007 2007;765
1 Berørte personer (antal);190 Furesø;2008 2008;741
1 Berørte personer (antal);190 Furesø;2009 2009;833
1 Berørte personer (antal);190 Furesø;2010 2010;935
1 Berørte personer (antal);190 Furesø;2011 2011;903
1 Berørte personer (antal);190 Furesø;2012 2012;941
1 Berørte personer (antal);190 Furesø;2013 2013;1089
1 Berørte personer (antal);190 Furesø;2014 2014;1177
1 Berørte personer (antal);190 Furesø;2015 2015;1217
1 Berørte personer (antal);190 Furesø;2016 2016;1128
1 Berørte personer (antal);190 Furesø;2017 2017;918
1 Berørte personer (antal);190 Furesø;2018 2018;713
1 Berørte personer (antal);190 Furesø;2019 2019;630
1 Berørte personer (antal);190 Furesø;2020 2020;601
1 Berørte personer (antal);190 Furesø;2021 2021;510
1 Berørte personer (antal);190 Furesø;2022 2022;529
1 Berørte personer (antal);270 Gribskov;2007 2007;677
1 Berørte personer (antal);270 Gribskov;2008 2008;732
1 Berørte personer (antal);270 Gribskov;2009 2009;960
1 Berørte personer (antal);270 Gribskov;2010 2010;1124
1 Berørte personer (antal);270 Gribskov;2011 2011;1137
1 Berørte personer (antal);270 Gribskov;2012 2012;1217
1 Berørte personer (antal);270 Gribskov;2013 2013;1414
1 Berørte personer (antal);270 Gribskov;2014 2014;1482
1 Berørte personer (antal);270 Gribskov;2015 2015;1529
1 Berørte personer (antal);270 Gribskov;2016 2016;1416
1 Berørte personer (antal);270 Gribskov;2017 2017;1228
1 Berørte personer (antal);270 Gribskov;2018 2018;1012
1 Berørte personer (antal);270 Gribskov;2019 2019;858
1 Berørte personer (antal);270 Gribskov;2020 2020;802
1 Berørte personer (antal);270 Gribskov;2021 2021;658
1 Berørte personer (antal);270 Gribskov;2022 2022;681
1 Berørte personer (antal);260 Halsnæs;2007 2007;896
1 Berørte personer (antal);260 Halsnæs;2008 2008;855
1 Berørte personer (antal);260 Halsnæs;2009 2009;1028
1 Berørte personer (antal);260 Halsnæs;2010 2010;1167
1 Berørte personer (antal);260 Halsnæs;2011 2011;1213
1 Berørte personer (antal);260 Halsnæs;2012 2012;1248
1 Berørte personer (antal);260 Halsnæs;2013 2013;1377
1 Berørte personer (antal);260 Halsnæs;2014 2014;1456
1 Berørte personer (antal);260 Halsnæs;2015 2015;1438
1 Berørte personer (antal);260 Halsnæs;2016 2016;1353
1 Berørte personer (antal);260 Halsnæs;2017 2017;1191
