,muni_code,year,kont_recip_tot
700,253,2019,869
701,253,2020,822
702,253,2021,775
703,253,2022,745
585,255,1994,286
586,255,1995,253
587,255,1996,255
588,255,1997,258
589,255,1998,238
590,255,1999,233
591,255,2000,239
592,255,2001,232
593,255,2002,276
594,255,2003,242
595,255,2004,214
596,255,2005,193
597,255,2006,187
598,257,1994,205
599,257,1995,140
600,257,1996,138
601,257,1997,153
602,257,1998,153
603,257,1999,174
604,257,2000,152
605,257,2001,145
606,257,2002,114
607,257,2003,136
608,257,2004,126
609,257,2005,154
610,257,2006,147
611,259,1994,1491
612,259,1995,1446
613,259,1996,1376
614,259,1997,1534
615,259,1998,1343
616,259,1999,1356
617,259,2000,1417
618,259,2001,1405
619,259,2002,1712
620,259,2003,1799
621,259,2004,1673
622,259,2005,1524
623,259,2006,1578
704,259,2007,1795
705,259,2008,1787
706,259,2009,2071
707,259,2010,2181
708,259,2011,2329
709,259,2012,2385
710,259,2013,2683
711,259,2014,2721
712,259,2015,2769
713,259,2016,2590
714,259,2017,2252
715,259,2018,1860
716,259,2019,1606
717,259,2020,1415
718,259,2021,1246
719,259,2022,1267
720,260,2007,896
721,260,2008,855
722,260,2009,1028
723,260,2010,1167
724,260,2011,1213
725,260,2012,1248
726,260,2013,1377
727,260,2014,1456
728,260,2015,1438
729,260,2016,1353
730,260,2017,1191
731,260,2018,1063
732,260,2019,932
733,260,2020,824
734,260,2021,666
735,260,2022,597
624,261,1994,123
625,261,1995,125
626,261,1996,107
627,261,1997,91
628,261,1998,118
629,261,1999,95
630,261,2000,84
631,261,2001,81
632,261,2002,88
633,261,2003,73
634,261,2004,84
635,261,2005,98
636,261,2006,113
637,263,1994,200
638,263,1995,146
639,263,1996,115
640,263,1997,112
641,263,1998,145
642,263,1999,138
643,263,2000,144
644,263,2001,135
645,263,2002,131
646,263,2003,129
647,263,2004,140
648,263,2005,153
649,263,2006,161
650,265,1994,2153
651,265,1995,1882
652,265,1996,1887
653,265,1997,1807
654,265,1998,1738
655,265,1999,1683
656,265,2000,1833
657,265,2001,1793
658,265,2002,1633
659,265,2003,1660
660,265,2004,1437
661,265,2005,1291
662,265,2006,1312
736,265,2007,1855
737,265,2008,1868
738,265,2009,2356
739,265,2010,2562
740,265,2011,2630
741,265,2012,2609
742,265,2013,3025
743,265,2014,3093
744,265,2015,3151
745,265,2016,3174
746,265,2017,2766
747,265,2018,2274
748,265,2019,2142
749,265,2020,2054
750,265,2021,1774
751,265,2022,1805
663,267,1994,398
664,267,1995,339
665,267,1996,284
666,267,1997,243
667,267,1998,265
668,267,1999,232
669,267,2000,220
670,267,2001,231
671,267,2002,198
672,267,2003,238
673,267,2004,214
674,267,2005,270
675,267,2006,273
676,269,1994,579
677,269,1995,435
678,269,1996,451
679,269,1997,389
680,269,1998,345
681,269,1999,328
682,269,2000,338
683,269,2001,359
684,269,2002,392
685,269,2003,379
686,269,2004,369
687,269,2005,436
688,269,2006,449
752,269,2007,394
753,269,2008,378
754,269,2009,433
755,269,2010,472
756,269,2011,436
757,269,2012,486
758,269,2013,576
759,269,2014,631
760,269,2015,635
761,269,2016,536
762,269,2017,454
763,269,2018,391
764,269,2019,321
765,269,2020,304
766,269,2021,276
767,269,2022,288
768,270,2007,677
769,270,2008,732
770,270,2009,960
771,270,2010,1124
772,270,2011,1137
773,270,2012,1217
774,270,2013,1414
775,270,2014,1482
776,270,2015,1529
777,270,2016,1416
778,270,2017,1228
779,270,2018,1012
780,270,2019,858
781,270,2020,802
782,270,2021,658
783,270,2022,681
689,271,1994,170
690,271,1995,149
691,271,1996,145
692,271,1997,166
693,271,1998,148
694,271,1999,181
695,271,2000,158
696,271,2001,155
697,271,2002,147
698,271,2003,194
699,271,2004,164
700,271,2005,198
701,271,2006,193
702,300,1994,10759
703,300,1995,9859
704,300,1996,9832
705,300,1997,9601
706,300,1998,10208
707,300,1999,10307
708,300,2000,10448
709,300,2001,10225
710,300,2002,9934
711,300,2003,10520
712,300,2004,9896
713,300,2005,9700
714,300,2006,9539
715,301,1994,259
716,301,1995,225
717,301,1996,237
718,301,1997,211
719,301,1998,243
720,301,1999,300
721,301,2000,290
722,301,2001,293
723,301,2002,243
724,301,2003,231
725,301,2004,253
726,301,2005,253
727,301,2006,264
728,303,1994,263
729,303,1995,263
730,303,1996,251
731,303,1997,258
732,303,1998,254
733,303,1999,248
734,303,2000,214
735,303,2001,213
736,303,2002,197
737,303,2003,196
738,303,2004,213
739,303,2005,209
740,303,2006,186
741,305,1994,558
742,305,1995,494
743,305,1996,555
744,305,1997,513
745,305,1998,486
746,305,1999,482
747,305,2000,529
748,305,2001,480
749,305,2002,460
750,305,2003,541
751,305,2004,466
752,305,2005,413
753,305,2006,341
784,306,2007,1019
785,306,2008,1094
786,306,2009,1288
787,306,2010,1364
788,306,2011,1411
789,306,2012,1510
790,306,2013,1654
791,306,2014,1703
792,306,2015,1777
793,306,2016,1622
794,306,2017,1459
795,306,2018,1266
796,306,2019,1175
797,306,2020,1036
798,306,2021,846
799,306,2022,801
754,307,1994,139
755,307,1995,160
756,307,1996,134
757,307,1997,129
758,307,1998,150
759,307,1999,155
760,307,2000,156
761,307,2001,141
762,307,2002,151
763,307,2003,159
764,307,2004,170
